"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Merge-sort","56000","671","3304","212"
"Cocktail-sort","207000","17167","27012","212"
"Shell-sort","30000","2041","2835","213"
"Merge-sort","59000","671","3322","213"
"Cocktail-sort","201000","16186","26793","213"
"Shell-sort","32000","2124","2922","214"
"Merge-sort","56000","674","3340","214"
"Cocktail-sort","306000","19200","30701","214"
"Shell-sort","78000","1988","2790","215"
"Merge-sort","56000","682","3358","215"
"Cocktail-sort","220000","17494","27755","215"
"Shell-sort","31000","2181","2987","216"
"Merge-sort","59000","672","3376","216"
"Cocktail-sort","452000","19367","30380","216"
"Shell-sort","31000","2126","2936","217"
"Merge-sort","61000","705","3394","217"
"Cocktail-sort","351000","17820","28158","217"
"Shell-sort","32000","2174","2988","218"
"Merge-sort","62000","689","3412","218"
"Cocktail-sort","536000","18861","30980","218"
"Shell-sort","33000","2193","3011","219"
"Merge-sort","64000","707","3430","219"
"Cocktail-sort","229000","19178","31625","219"
"Shell-sort","32000","2116","2938","220"
"Merge-sort","60000","693","3448","220"
"Cocktail-sort","241000","19099","32180","220"
"Shell-sort","33000","2111","2937","221"
"Merge-sort","65000","698","3466","221"
"Cocktail-sort","516000","19420","30418","221"
"Shell-sort","33000","2146","2976","222"
"Merge-sort","62000","692","3484","222"
"Cocktail-sort","220000","17914","27358","222"
"Shell-sort","35000","2154","2988","223"
"Merge-sort","62000","703","3502","223"
"Cocktail-sort","224000","18704","29735","223"
"Shell-sort","34000","2356","3194","224"
"Merge-sort","71000","734","3520","224"
"Cocktail-sort","595000","19680","32523","224"
"Shell-sort","33000","2125","2967","225"
"Merge-sort","61000","715","3538","225"
"Cocktail-sort","324000","19152","31504","225"
"Shell-sort","77000","2282","3128","226"
"Merge-sort","66000","720","3556","226"
"Cocktail-sort","359000","19920","30928","226"
"Shell-sort","35000","2239","3089","227"
"Merge-sort","64000","741","3574","227"
"Cocktail-sort","374000","21252","35085","227"
"Shell-sort","35000","2187","3041","228"
"Merge-sort","66000","736","3592","228"
"Cocktail-sort","296000","20051","30175","228"
"Shell-sort","37000","2413","3271","229"
"Merge-sort","63000","745","3610","229"
"Cocktail-sort","221000","19722","30643","229"
"Shell-sort","107000","2341","3203","230"
"Merge-sort","66000","740","3628","230"
"Cocktail-sort","267000","20178","31783","230"
"Shell-sort","33000","2293","3159","231"
"Merge-sort","60000","746","3646","231"
"Cocktail-sort","312000","21478","34295","231"
"Shell-sort","35000","2422","3292","232"
"Merge-sort","61000","758","3664","232"
"Cocktail-sort","297000","19950","32533","232"
"Shell-sort","33000","2287","3161","233"
"Merge-sort","60000","754","3682","233"
"Cocktail-sort","310000","21204","33987","233"
